date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:53:55	31000/31000	---M--	200	added ('OK')	text/css	etag:%2286828c1-7918-56ac12a40f559%22	https://www.yogainindia.co.in/blogyoga/wp-content/plugins/best-editor/inc/font-awesome/css/font-awesome.min.css?ver=4.7.0	C:/Users/Shivam%20Sharma/Desktop/heyaa/Yoga/www.yogainindia.co.in/blogyoga/wp-content/plugins/best-editor/inc/font-awesome/css/font-awesome.min1849.css	(from https://www.yogainindia.co.in/blogyoga/)
18:53:55	121200/121200	---M--	200	added ('OK')	text/css	etag:%2286828d4-1d970-56ac12a7c5c72%22	https://www.yogainindia.co.in/blogyoga/wp-content/plugins/best-editor/inc/bootstrap/css/bootstrap.min.css?ver=3.3.7	C:/Users/Shivam%20Sharma/Desktop/heyaa/Yoga/www.yogainindia.co.in/blogyoga/wp-content/plugins/best-editor/inc/bootstrap/css/bootstrap.min7433.css	(from https://www.yogainindia.co.in/blogyoga/)
18:53:56	18290/18290	---M--	200	added ('OK')	text/css	etag:%22850021b-4772-56ae2d0ce159a%22	https://www.yogainindia.co.in/blogyoga/wp-content/plugins/profile-builder/assets/css/style-front-end.css?ver=2.8.1	C:/Users/Shivam%20Sharma/Desktop/heyaa/Yoga/www.yogainindia.co.in/blogyoga/wp-content/plugins/profile-builder/assets/css/style-front-end1102.css	(from https://www.yogainindia.co.in/blogyoga/)
18:53:56	97184/97184	---M--	200	added ('OK')	application/javascript	etag:%2284e202f-17ba0-5337eac0d4540%22	https://www.yogainindia.co.in/blogyoga/wp-includes/js/jquery/jquery.js?ver=1.12.4	C:/Users/Shivam%20Sharma/Desktop/heyaa/Yoga/www.yogainindia.co.in/blogyoga/wp-includes/js/jquery/jqueryb8ff.js	(from https://www.yogainindia.co.in/blogyoga/)
18:53:56	10056/10056	---M--	200	added ('OK')	application/javascript	etag:%2284e2029-2748-5333ff613c400%22	https://www.yogainindia.co.in/blogyoga/wp-includes/js/jquery/jquery-migrate.min.js?ver=1.4.1	C:/Users/Shivam%20Sharma/Desktop/heyaa/Yoga/www.yogainindia.co.in/blogyoga/wp-includes/js/jquery/jquery-migrate.min330a.js	(from https://www.yogainindia.co.in/blogyoga/)
18:53:57	6945/6945	---M--	200	added ('OK')	application/javascript	etag:%2284e0227-1b21-56b0cb5a7afa4%22	https://www.yogainindia.co.in/blogyoga/wp-content/plugins/wp-customer-reviews/js/wp-customer-reviews.js?ver=3.1.9	C:/Users/Shivam%20Sharma/Desktop/heyaa/Yoga/www.yogainindia.co.in/blogyoga/wp-content/plugins/wp-customer-reviews/js/wp-customer-reviews20f0.js	(from https://www.yogainindia.co.in/blogyoga/)
18:53:58	920/920	---MC-	200	added ('OK')	text/xml	date:Wed,%2006%20Mar%202019%2013:23:53%20GMT	https://www.yogainindia.co.in/blogyoga/xmlrpc.php?rsd	C:/Users/Shivam%20Sharma/Desktop/heyaa/Yoga/www.yogainindia.co.in/blogyoga/xmlrpc0db0.php	(from https://www.yogainindia.co.in/blogyoga/)
18:53:58	1045/1045	---M--	200	added ('OK')	application/xml	etag:%2284e1f52-415-4ed4785da9bc0%22	https://www.yogainindia.co.in/blogyoga/wp-includes/wlwmanifest.xml	C:/Users/Shivam%20Sharma/Desktop/heyaa/Yoga/www.yogainindia.co.in/blogyoga/wp-includes/wlwmanifest.xml	(from https://www.yogainindia.co.in/blogyoga/)
18:53:59	74018/74018	---MC-	200	added ('OK')	application/json	date:Wed,%2006%20Mar%202019%2013:23:53%20GMT	https://www.yogainindia.co.in/blogyoga/wp-json/	C:/Users/Shivam%20Sharma/Desktop/heyaa/Yoga/www.yogainindia.co.in/blogyoga/wp-json/index.html	(from https://www.yogainindia.co.in/blogyoga/)
18:54:00	42/42	---MC-	405	error ('Method%20Not%20Allowed')	text/plain	date:Wed,%2006%20Mar%202019%2013:23:55%20GMT	https://www.yogainindia.co.in/blogyoga/xmlrpc.php	C:/Users/Shivam%20Sharma/Desktop/heyaa/Yoga/www.yogainindia.co.in/blogyoga/xmlrpc.php	(from https://www.yogainindia.co.in/blogyoga/)
18:54:01	762/762	---MC-	200	added ('OK')	text/javascript	date:Wed,%2006%20Mar%202019%2013:23:57%20GMT	https://www.google.com/recaptcha/api.js	C:/Users/Shivam%20Sharma/Desktop/heyaa/Yoga/www.google.com/recaptcha/api.js	(from https://www.yogainindia.co.in/blogyoga/)
18:54:01	247/247	---M--	301	error ('Moved%20Permanently')	text/html	date:Wed,%2006%20Mar%202019%2013:23:57%20GMT	https://www.yogainindia.co.in/blogyoga	C:/Users/Shivam%20Sharma/Desktop/heyaa/Yoga/www.yogainindia.co.in/blogyoga	(from https://www.yogainindia.co.in/blogyoga/)
